transaction_amount,customer_age_days,number_previous_transactions,previous_success_count,previous_failure_count,historical_success_rate,payment_method,failure_reason,attempt_number,hours_since_failure,hour_of_day,day_of_week,customer_value_segment,previous_recovery_count,subscription_status,recovered
3560.83,688,11,7,4,0.6364,upi,temporary_failure,1,22.88,12,4,STANDARD,0,none,1
3925.6,80,3,2,1,0.6667,upi,insufficient_funds,2,38.47,17,4,STANDARD,1,none,1
2499.37,1088,7,6,1,0.8571,card,fraud_suspected,2,36.1,21,4,STANDARD,0,none,0
3025.37,812,13,10,3,0.7692,upi,network_error,2,33.62,8,6,PREMIUM,3,active,1
8665.49,374,11,8,3,0.7273,netbanking,insufficient_funds,3,17.86,16,4,STANDARD,0,none,0
6048.93,428,7,5,2,0.7143,netbanking,bank_timeout,1,28.7,0,3,PREMIUM,0,active,0
1873.55,555,12,11,1,0.9167,upi,network_error,3,25.52,8,0,STANDARD,0,none,0
4105.9,1498,10,7,3,0.7,card,invalid_account,2,26.02,17,3,STANDARD,1,none,0
1227.35,1519,14,11,3,0.7857,upi,temporary_failure,2,54.48,11,1,STANDARD,1,none,1
5797.85,755,13,9,4,0.6923,card,invalid_account,2,9.46,16,1,PREMIUM,0,active,0
3481.5,1498,4,4,0,1.0,card,temporary_failure,3,28.87,16,3,PREMIUM,2,active,1
2378.45,521,10,8,2,0.8,upi,bank_decline,2,11.57,16,6,STANDARD,1,none,1
1055.47,1407,14,11,3,0.7857,card,temporary_failure,3,22.65,10,2,STANDARD,1,none,1
3249.81,1696,9,7,2,0.7778,upi,invalid_account,1,16.28,3,5,PREMIUM,0,active,0
6181.96,1095,7,5,2,0.7143,card,bank_decline,2,95.34,23,3,STANDARD,0,none,0
2775.65,181,7,6,1,0.8571,upi,temporary_failure,3,81.38,23,1,PREMIUM,0,active,1
7943.55,595,14,11,3,0.7857,upi,bank_decline,2,28.22,23,1,STANDARD,2,none,0
1357.02,218,9,9,0,1.0,upi,insufficient_funds,1,67.04,21,4,STANDARD,2,none,1
2668.91,234,8,4,4,0.5,upi,bank_timeout,1,45.55,23,2,STANDARD,0,none,1
3491.51,1230,15,12,3,0.8,upi,invalid_account,3,20.4,22,5,STANDARD,2,none,0
7121.23,1773,7,7,0,1.0,netbanking,invalid_account,3,10.05,16,5,PREMIUM,0,active,0
13270.68,1235,3,2,1,0.6667,netbanking,insufficient_funds,3,40.74,21,3,STANDARD,2,none,1
9038.63,1265,2,1,1,0.5,card,temporary_failure,3,21.8,22,4,PREMIUM,1,active,1
8395.49,27,8,4,4,0.5,card,bank_decline,1,38.36,21,2,STANDARD,0,none,0
10482.11,1643,4,3,1,0.75,card,insufficient_funds,1,194.0,22,5,STANDARD,1,none,0
918.12,471,8,6,2,0.75,netbanking,insufficient_funds,1,15.19,8,1,PREMIUM,2,active,1
646.92,1635,14,10,4,0.7143,card,bank_timeout,1,12.94,1,5,PREMIUM,2,active,1
2390.25,1559,6,5,1,0.8333,card,bank_timeout,2,49.64,22,1,ENTERPRISE,0,active,1
6047.35,858,7,7,0,1.0,card,bank_timeout,1,32.49,20,0,STANDARD,1,none,1
7715.68,1429,9,9,0,1.0,card,temporary_failure,1,101.74,8,3,STANDARD,2,none,1
5159.11,1749,8,7,1,0.875,card,temporary_failure,1,73.84,18,1,STANDARD,2,none,1
3460.35,1155,13,8,5,0.6154,wallet,temporary_failure,3,90.56,17,0,STANDARD,0,none,0
5293.96,394,7,7,0,1.0,upi,network_error,3,30.03,3,4,PREMIUM,1,active,1
2744.15,1513,11,9,2,0.8182,wallet,temporary_failure,2,12.68,10,0,PREMIUM,0,active,1
10508.31,1201,10,6,4,0.6,card,fraud_suspected,1,34.01,18,4,STANDARD,1,none,0
7293.99,778,7,6,1,0.8571,upi,bank_decline,2,29.2,7,6,STANDARD,1,none,1
14509.02,280,11,8,3,0.7273,upi,insufficient_funds,1,30.2,20,3,PREMIUM,3,active,0
16030.44,555,8,8,0,1.0,wallet,network_error,3,89.05,6,6,STANDARD,1,none,1
5009.56,1073,10,9,1,0.9,card,invalid_account,3,20.97,0,6,STANDARD,1,none,1
10680.82,1274,8,8,0,1.0,netbanking,network_error,2,45.55,7,2,PREMIUM,0,active,1
3237.94,841,12,8,4,0.6667,card,fraud_suspected,3,36.55,14,5,STANDARD,1,none,0
4950.22,1690,7,5,2,0.7143,upi,insufficient_funds,3,34.71,15,4,PREMIUM,0,active,0
8387.03,604,8,8,0,1.0,upi,network_error,1,60.28,10,0,PREMIUM,0,active,1
17030.32,1246,8,5,3,0.625,card,temporary_failure,3,15.6,10,6,STANDARD,1,none,1
7242.53,455,8,4,4,0.5,card,bank_decline,1,9.27,13,5,STANDARD,1,none,0
3936.33,851,13,10,3,0.7692,upi,temporary_failure,1,54.82,19,2,STANDARD,1,none,1
3891.91,864,6,5,1,0.8333,upi,network_error,1,31.11,14,2,STANDARD,3,none,1
13097.46,1508,7,5,2,0.7143,netbanking,fraud_suspected,2,143.14,1,6,STANDARD,1,none,0
3607.03,106,4,2,2,0.5,upi,temporary_failure,1,37.5,15,1,STANDARD,0,none,0
4895.28,182,13,12,1,0.9231,wallet,temporary_failure,3,3.73,5,6,PREMIUM,1,active,1
2949.24,1538,6,4,2,0.6667,card,bank_timeout,2,66.61,6,1,STANDARD,0,none,1
4793.77,685,10,7,3,0.7,upi,temporary_failure,1,57.31,19,5,PREMIUM,2,active,1
2345.91,1620,11,10,1,0.9091,card,insufficient_funds,1,49.17,3,6,PREMIUM,0,active,0
6017.36,1559,16,11,5,0.6875,card,bank_decline,1,61.73,21,4,PREMIUM,1,active,1
2228.86,233,9,6,3,0.6667,upi,bank_timeout,1,42.89,7,3,STANDARD,1,none,1
3834.23,892,11,8,3,0.7273,card,insufficient_funds,1,30.72,14,6,STANDARD,4,none,0
4502.54,622,13,12,1,0.9231,card,insufficient_funds,2,83.28,11,2,STANDARD,0,none,0
3640.04,869,7,4,3,0.5714,upi,bank_timeout,1,156.65,11,3,STANDARD,0,none,1
3047.23,505,4,3,1,0.75,netbanking,invalid_account,3,58.92,6,3,ENTERPRISE,0,active,1
3239.36,109,6,4,2,0.6667,upi,temporary_failure,3,8.74,5,2,STANDARD,0,none,1
4097.14,1585,8,8,0,1.0,card,bank_decline,2,17.54,13,6,STANDARD,1,none,0
1869.66,1080,7,7,0,1.0,card,bank_decline,2,28.81,23,5,STANDARD,1,none,1
1990.72,231,12,9,3,0.75,upi,bank_timeout,2,69.0,8,3,PREMIUM,2,active,0
7996.89,746,12,4,8,0.3333,upi,bank_decline,1,90.09,15,2,PREMIUM,2,active,0
4976.02,605,6,6,0,1.0,card,temporary_failure,1,42.87,14,0,STANDARD,2,none,1
3492.93,1217,7,6,1,0.8571,card,network_error,2,46.37,2,0,STANDARD,1,none,1
6224.93,946,14,12,2,0.8571,netbanking,invalid_account,3,13.78,3,2,PREMIUM,1,active,0
4907.03,923,10,8,2,0.8,wallet,bank_decline,1,29.14,16,1,STANDARD,0,none,0
6430.36,119,11,9,2,0.8182,upi,fraud_suspected,1,27.73,9,0,STANDARD,1,none,1
3597.13,1314,11,5,6,0.4545,card,insufficient_funds,3,14.27,6,1,STANDARD,0,none,0
4404.55,438,8,8,0,1.0,upi,temporary_failure,2,6.65,15,2,STANDARD,1,none,1
3728.41,778,9,5,4,0.5556,netbanking,fraud_suspected,3,35.39,1,6,STANDARD,0,none,0
4076.62,1214,7,4,3,0.5714,card,bank_timeout,2,97.54,10,6,STANDARD,1,none,0
4317.18,1593,6,5,1,0.8333,upi,fraud_suspected,1,9.58,6,3,ENTERPRISE,1,active,0
3283.99,1595,16,10,6,0.625,upi,insufficient_funds,1,36.6,7,2,PREMIUM,1,active,1
1915.68,1636,10,8,2,0.8,wallet,bank_decline,3,74.57,7,1,PREMIUM,1,active,0
3685.8,1685,9,7,2,0.7778,upi,network_error,2,10.65,12,6,PREMIUM,2,active,1
6362.63,1198,9,8,1,0.8889,upi,bank_timeout,2,12.58,21,3,STANDARD,1,none,1
5732.94,1758,11,5,6,0.4545,netbanking,temporary_failure,3,29.28,0,3,PREMIUM,2,active,0
5020.25,1275,10,9,1,0.9,card,bank_decline,1,63.22,14,6,STANDARD,1,none,1
6164.67,328,12,8,4,0.6667,upi,bank_timeout,2,31.48,2,0,STANDARD,1,none,0
1191.13,1116,3,2,1,0.6667,wallet,temporary_failure,3,25.19,9,4,ENTERPRISE,0,active,1
6264.93,1648,11,9,2,0.8182,card,temporary_failure,2,8.3,16,0,PREMIUM,3,active,1
4014.21,1544,12,10,2,0.8333,card,network_error,2,79.87,15,2,STANDARD,2,none,1
1973.18,1043,9,6,3,0.6667,netbanking,fraud_suspected,3,31.71,5,2,STANDARD,3,none,0
1709.52,1128,11,9,2,0.8182,netbanking,temporary_failure,2,51.71,19,6,ENTERPRISE,1,active,1
1368.26,1619,7,5,2,0.7143,card,bank_timeout,3,56.21,10,3,STANDARD,0,none,1
19243.99,875,9,5,4,0.5556,card,bank_decline,2,18.46,11,3,STANDARD,1,none,0
13600.33,676,6,5,1,0.8333,upi,network_error,3,39.83,10,3,STANDARD,2,none,1
4469.3,870,5,4,1,0.8,upi,bank_timeout,3,28.61,8,6,STANDARD,1,none,0
7863.89,385,9,7,2,0.7778,upi,network_error,1,11.59,20,4,STANDARD,0,none,1
3434.85,1332,5,5,0,1.0,netbanking,temporary_failure,3,69.21,19,6,STANDARD,1,none,1
1741.49,559,9,9,0,1.0,upi,temporary_failure,2,19.55,1,4,STANDARD,1,none,1
2729.46,824,12,11,1,0.9167,upi,bank_decline,1,125.49,19,1,PREMIUM,3,active,1
1967.94,901,11,10,1,0.9091,card,bank_decline,1,13.44,10,5,PREMIUM,1,active,1
2782.99,782,13,10,3,0.7692,upi,network_error,1,14.21,15,1,STANDARD,0,none,1
2601.35,194,10,8,2,0.8,upi,fraud_suspected,3,27.28,3,3,STANDARD,1,none,0
3296.34,1213,15,13,2,0.8667,wallet,temporary_failure,1,21.76,9,2,PREMIUM,1,active,1
6384.78,1460,9,9,0,1.0,card,insufficient_funds,2,71.06,21,5,STANDARD,1,none,1
1355.53,1361,13,13,0,1.0,upi,network_error,3,65.12,14,6,STANDARD,0,none,1
378.18,1745,8,5,3,0.625,netbanking,bank_timeout,2,51.49,23,1,PREMIUM,0,active,0
7762.23,1754,9,8,1,0.8889,upi,bank_timeout,2,69.43,4,4,ENTERPRISE,2,active,0
2396.53,366,13,10,3,0.7692,upi,temporary_failure,2,48.2,16,6,STANDARD,0,none,0
3842.83,839,8,7,1,0.875,card,bank_decline,2,36.34,15,1,STANDARD,1,none,1
877.09,1747,2,2,0,1.0,card,bank_decline,2,11.76,15,0,PREMIUM,0,active,1
2415.71,1717,11,9,2,0.8182,wallet,temporary_failure,2,5.09,1,1,STANDARD,0,none,0
10887.18,261,6,2,4,0.3333,upi,insufficient_funds,3,41.21,18,2,PREMIUM,0,active,0
3638.24,762,7,4,3,0.5714,upi,network_error,3,25.75,20,6,STANDARD,0,none,1
2314.72,1141,5,5,0,1.0,card,temporary_failure,1,10.11,10,5,PREMIUM,1,active,1
5744.13,1139,8,7,1,0.875,upi,network_error,2,28.97,14,5,STANDARD,0,none,1
12387.41,480,4,3,1,0.75,card,temporary_failure,1,31.43,18,5,PREMIUM,2,active,1
2054.88,1302,15,11,4,0.7333,upi,temporary_failure,3,5.14,10,4,STANDARD,0,none,1
8047.2,633,8,6,2,0.75,upi,bank_timeout,1,52.01,15,2,PREMIUM,0,active,1
1108.25,1006,7,6,1,0.8571,upi,bank_decline,2,17.37,22,0,STANDARD,2,none,0
18453.53,776,6,5,1,0.8333,upi,insufficient_funds,2,49.86,23,2,STANDARD,1,none,0
3766.71,782,5,1,4,0.2,upi,insufficient_funds,3,85.59,22,6,STANDARD,2,none,0
2935.02,1128,15,13,2,0.8667,card,bank_decline,1,61.17,4,6,STANDARD,0,none,0
2981.36,965,12,8,4,0.6667,netbanking,invalid_account,1,86.95,5,1,PREMIUM,2,active,0
3757.47,1013,4,4,0,1.0,upi,insufficient_funds,1,38.91,4,2,STANDARD,0,none,1
5753.01,39,7,7,0,1.0,card,bank_timeout,2,18.77,21,6,STANDARD,1,none,1
3375.46,1708,12,11,1,0.9167,card,network_error,3,23.65,7,0,STANDARD,1,none,1
15019.61,1292,9,8,1,0.8889,card,temporary_failure,3,62.37,8,1,STANDARD,1,none,1
9707.53,1527,9,7,2,0.7778,netbanking,insufficient_funds,3,33.09,21,3,STANDARD,0,none,0
2613.44,983,10,9,1,0.9,card,invalid_account,1,41.96,7,5,PREMIUM,0,active,1
1959.87,1785,11,9,2,0.8182,wallet,invalid_account,3,36.94,7,2,STANDARD,1,none,0
4196.92,1349,14,12,2,0.8571,netbanking,bank_timeout,2,31.03,5,2,STANDARD,2,none,1
5029.61,310,10,9,1,0.9,upi,temporary_failure,1,10.22,1,6,STANDARD,1,none,1
2734.11,1670,4,4,0,1.0,upi,invalid_account,1,16.87,1,1,STANDARD,1,none,0
3475.0,949,5,5,0,1.0,netbanking,insufficient_funds,1,82.85,13,6,STANDARD,2,none,1
6078.31,699,9,7,2,0.7778,netbanking,bank_timeout,1,57.9,21,5,ENTERPRISE,0,active,0
9550.22,1181,12,8,4,0.6667,card,temporary_failure,3,80.41,13,6,STANDARD,0,none,0
1984.9,186,10,8,2,0.8,upi,insufficient_funds,1,45.86,12,3,PREMIUM,0,active,1
702.41,1205,9,6,3,0.6667,card,network_error,3,33.37,14,3,STANDARD,2,none,1
2755.43,569,11,9,2,0.8182,upi,insufficient_funds,3,57.43,22,2,PREMIUM,1,active,0
855.33,1796,8,7,1,0.875,upi,bank_decline,1,40.39,1,2,STANDARD,1,none,1
1652.71,1135,12,10,2,0.8333,netbanking,network_error,3,31.71,2,5,ENTERPRISE,1,active,0
441.25,734,9,7,2,0.7778,wallet,network_error,2,45.44,8,4,STANDARD,1,none,1
12242.08,704,7,5,2,0.7143,upi,bank_timeout,3,4.1,12,0,PREMIUM,1,active,1
789.71,748,14,14,0,1.0,upi,insufficient_funds,1,33.04,2,0,STANDARD,1,none,1
21220.56,1619,8,3,5,0.375,upi,bank_decline,3,24.49,9,6,PREMIUM,0,active,0
840.73,1055,7,7,0,1.0,upi,temporary_failure,3,58.49,18,6,STANDARD,3,none,1
8036.12,500,5,5,0,1.0,card,bank_decline,2,30.07,4,5,PREMIUM,3,active,1
2659.76,675,5,3,2,0.6,upi,invalid_account,3,81.04,5,2,STANDARD,0,none,0
7609.89,791,4,2,2,0.5,wallet,insufficient_funds,3,126.21,8,0,STANDARD,1,none,1
7097.56,1238,16,12,4,0.75,upi,network_error,2,31.18,14,2,STANDARD,0,none,1
1521.46,1354,6,5,1,0.8333,card,bank_decline,2,15.83,11,3,PREMIUM,0,active,1
14906.46,277,6,5,1,0.8333,card,network_error,3,37.87,5,0,PREMIUM,0,active,1
1183.06,665,7,5,2,0.7143,upi,temporary_failure,2,20.16,22,0,PREMIUM,3,active,1
2864.48,1710,11,10,1,0.9091,card,network_error,1,42.06,1,1,STANDARD,1,none,1
17202.55,1784,12,8,4,0.6667,card,bank_decline,1,25.02,11,2,PREMIUM,0,active,1
5088.34,713,11,9,2,0.8182,netbanking,bank_timeout,3,41.7,6,6,PREMIUM,1,active,1
3153.26,481,4,1,3,0.25,upi,fraud_suspected,1,18.41,7,3,PREMIUM,1,active,1
3750.46,235,14,14,0,1.0,netbanking,bank_decline,1,43.69,0,4,STANDARD,1,none,1
4542.1,362,6,3,3,0.5,upi,temporary_failure,3,23.25,18,6,PREMIUM,1,active,0
9085.91,611,7,4,3,0.5714,upi,bank_decline,3,14.89,13,1,STANDARD,1,none,0
6047.88,758,11,8,3,0.7273,upi,fraud_suspected,2,8.73,1,4,STANDARD,0,none,0
2732.08,1634,6,6,0,1.0,upi,bank_decline,1,22.58,22,5,STANDARD,3,none,1
6115.05,634,7,5,2,0.7143,upi,bank_decline,2,36.6,7,3,STANDARD,1,none,1
686.17,1264,11,8,3,0.7273,netbanking,temporary_failure,1,14.25,9,5,ENTERPRISE,0,active,1
5848.24,54,6,6,0,1.0,card,temporary_failure,3,25.42,9,3,ENTERPRISE,0,active,1
2518.25,1264,10,9,1,0.9,wallet,bank_timeout,1,117.24,13,6,PREMIUM,2,active,0
2964.04,751,8,5,3,0.625,card,network_error,1,56.45,14,3,PREMIUM,1,active,1
5653.02,1287,8,7,1,0.875,card,network_error,3,12.49,2,6,STANDARD,1,none,1
7454.8,726,10,8,2,0.8,upi,temporary_failure,3,76.45,6,2,PREMIUM,1,active,1
1451.69,425,11,7,4,0.6364,upi,bank_timeout,1,37.46,8,4,STANDARD,1,none,0
4072.7,1180,12,10,2,0.8333,netbanking,network_error,3,25.25,23,0,STANDARD,2,none,1
1197.87,413,8,6,2,0.75,wallet,invalid_account,3,60.14,12,1,ENTERPRISE,1,active,0
5068.76,470,6,5,1,0.8333,card,invalid_account,2,50.12,2,5,STANDARD,2,none,0
1138.66,1493,9,9,0,1.0,upi,bank_decline,2,91.21,17,6,PREMIUM,0,active,0
1567.89,1694,8,6,2,0.75,netbanking,insufficient_funds,3,62.55,18,3,STANDARD,1,none,1
7403.59,1680,10,4,6,0.4,card,insufficient_funds,3,19.06,18,3,STANDARD,0,none,0
3145.14,1146,5,4,1,0.8,upi,temporary_failure,2,42.55,17,3,PREMIUM,1,active,0
4030.35,394,6,6,0,1.0,card,temporary_failure,3,45.89,7,4,STANDARD,0,none,1
1974.35,1391,10,8,2,0.8,card,bank_timeout,3,24.31,19,4,STANDARD,0,none,0
6605.45,750,9,8,1,0.8889,wallet,network_error,3,61.22,1,5,STANDARD,0,none,1
1228.29,1485,9,8,1,0.8889,upi,insufficient_funds,2,36.81,18,4,STANDARD,1,none,0
3100.89,1663,8,8,0,1.0,upi,temporary_failure,3,78.03,23,2,PREMIUM,1,active,1
2945.97,559,14,11,3,0.7857,upi,bank_decline,3,29.62,4,1,PREMIUM,0,active,0
4547.7,725,14,14,0,1.0,netbanking,fraud_suspected,3,23.21,5,2,STANDARD,0,none,1
3695.38,108,12,9,3,0.75,upi,temporary_failure,2,40.55,22,6,PREMIUM,2,active,1
3735.51,783,12,10,2,0.8333,upi,insufficient_funds,3,35.24,22,2,STANDARD,2,none,0
1494.82,158,9,7,2,0.7778,upi,bank_decline,1,61.48,21,6,STANDARD,0,none,0
903.03,528,4,3,1,0.75,upi,insufficient_funds,2,43.23,15,4,STANDARD,2,none,0
3475.16,1761,6,5,1,0.8333,netbanking,insufficient_funds,2,43.24,8,4,PREMIUM,4,active,1
3542.82,1258,10,9,1,0.9,wallet,temporary_failure,1,25.87,22,0,PREMIUM,1,active,1
1787.39,907,10,8,2,0.8,upi,insufficient_funds,3,22.34,22,2,STANDARD,2,none,0
672.37,1025,7,6,1,0.8571,card,bank_decline,1,37.44,17,2,STANDARD,2,none,1
13146.68,648,5,5,0,1.0,upi,bank_decline,2,29.4,6,6,PREMIUM,1,active,1
4789.97,576,12,11,1,0.9167,wallet,bank_timeout,2,16.9,16,1,STANDARD,2,none,1
6514.57,1147,9,6,3,0.6667,upi,network_error,3,19.71,13,6,PREMIUM,1,active,1
3545.33,761,7,5,2,0.7143,wallet,temporary_failure,3,58.67,11,6,STANDARD,1,none,1
778.73,840,11,10,1,0.9091,upi,temporary_failure,3,20.68,9,0,STANDARD,1,none,1
1323.82,1184,8,4,4,0.5,upi,bank_decline,2,11.87,9,3,STANDARD,0,none,0
5021.4,1781,5,5,0,1.0,upi,bank_decline,2,19.17,19,0,PREMIUM,2,active,1
9489.01,848,13,10,3,0.7692,card,invalid_account,3,25.73,2,6,PREMIUM,2,active,0
2901.2,500,11,9,2,0.8182,upi,bank_decline,2,54.8,13,5,PREMIUM,0,active,1
6998.73,1492,7,7,0,1.0,upi,invalid_account,2,163.7,3,1,STANDARD,3,none,1
485.62,1154,6,6,0,1.0,upi,temporary_failure,2,107.19,3,4,STANDARD,0,none,1
996.02,1337,8,8,0,1.0,wallet,temporary_failure,3,66.69,23,0,PREMIUM,1,active,1
4252.1,1462,6,4,2,0.6667,upi,insufficient_funds,2,36.55,9,3,STANDARD,0,none,1
4978.42,982,7,7,0,1.0,upi,fraud_suspected,1,120.29,6,0,STANDARD,2,none,0
2293.94,580,8,6,2,0.75,netbanking,invalid_account,1,30.07,23,0,ENTERPRISE,1,active,0
11630.7,423,7,6,1,0.8571,card,temporary_failure,1,42.57,9,3,STANDARD,3,none,1
1069.33,1397,7,7,0,1.0,wallet,invalid_account,2,6.11,6,4,STANDARD,2,none,1
3808.38,1675,6,6,0,1.0,netbanking,temporary_failure,3,22.59,14,4,STANDARD,0,none,1
3172.09,1506,7,6,1,0.8571,wallet,invalid_account,1,38.85,15,3,STANDARD,0,none,1
2508.74,1292,2,1,1,0.5,card,insufficient_funds,1,45.5,5,4,PREMIUM,0,active,0
6061.24,1387,12,6,6,0.5,netbanking,insufficient_funds,1,29.76,13,0,STANDARD,1,none,0
3081.5,1668,12,7,5,0.5833,card,network_error,2,74.67,14,2,PREMIUM,1,active,1
421.31,790,10,8,2,0.8,card,bank_decline,2,38.21,0,0,STANDARD,2,none,0
3675.06,1025,8,5,3,0.625,upi,temporary_failure,3,25.61,10,2,STANDARD,2,none,1
6213.02,538,7,4,3,0.5714,card,insufficient_funds,1,60.82,2,2,STANDARD,2,none,0
1120.86,894,11,9,2,0.8182,card,insufficient_funds,1,62.04,14,6,STANDARD,3,none,1
7014.0,982,7,4,3,0.5714,card,temporary_failure,2,5.63,4,3,STANDARD,1,none,1
3412.77,317,8,5,3,0.625,netbanking,insufficient_funds,3,57.22,3,2,PREMIUM,1,active,0
1150.32,1257,11,8,3,0.7273,wallet,insufficient_funds,3,40.34,12,0,PREMIUM,1,active,0
4390.67,908,9,6,3,0.6667,upi,bank_timeout,3,30.12,18,4,PREMIUM,0,active,1
1246.18,1627,1,1,0,1.0,card,bank_decline,1,17.51,10,0,STANDARD,1,none,1
4398.81,1337,6,3,3,0.5,upi,insufficient_funds,3,25.67,16,0,STANDARD,0,none,0
7135.35,438,9,6,3,0.6667,card,insufficient_funds,1,18.4,21,6,STANDARD,2,none,1
32798.88,263,13,11,2,0.8462,upi,bank_timeout,3,15.25,10,2,STANDARD,1,none,1
5424.25,306,5,5,0,1.0,card,fraud_suspected,2,26.27,1,4,STANDARD,0,none,0
1675.69,1337,16,11,5,0.6875,wallet,temporary_failure,3,70.94,3,0,PREMIUM,0,active,0
684.16,825,9,7,2,0.7778,upi,invalid_account,2,8.52,7,4,PREMIUM,1,active,0
5926.57,1315,12,10,2,0.8333,upi,bank_decline,2,21.35,21,3,STANDARD,0,none,0
2291.46,430,10,10,0,1.0,upi,network_error,3,92.49,18,2,STANDARD,0,none,1
337.09,802,11,11,0,1.0,card,temporary_failure,2,16.78,18,1,STANDARD,0,none,1
2189.85,1532,11,11,0,1.0,netbanking,invalid_account,2,72.66,22,6,STANDARD,0,none,0
1336.8,221,12,9,3,0.75,upi,temporary_failure,2,40.07,23,2,ENTERPRISE,1,active,1
20311.35,354,8,5,3,0.625,card,temporary_failure,3,19.48,15,3,PREMIUM,1,active,1
1523.75,356,6,5,1,0.8333,card,bank_decline,3,29.59,7,5,STANDARD,3,none,0
2864.5,747,7,6,1,0.8571,netbanking,insufficient_funds,3,21.54,10,5,STANDARD,1,none,1
3495.07,847,9,6,3,0.6667,card,insufficient_funds,1,17.01,21,6,STANDARD,1,none,0
4313.7,455,4,3,1,0.75,netbanking,network_error,2,27.34,5,0,PREMIUM,2,active,1
9314.59,1576,9,5,4,0.5556,netbanking,fraud_suspected,2,35.18,9,5,STANDARD,0,none,1
5012.22,1718,6,5,1,0.8333,upi,invalid_account,1,66.56,0,1,STANDARD,1,none,1
2346.81,1542,13,9,4,0.6923,upi,temporary_failure,1,20.77,18,2,STANDARD,2,none,1
2117.14,1705,12,11,1,0.9167,upi,fraud_suspected,2,5.43,6,6,PREMIUM,2,active,0
1970.01,1779,5,4,1,0.8,wallet,network_error,3,34.99,8,0,STANDARD,0,none,1
22042.41,769,9,8,1,0.8889,card,fraud_suspected,3,56.03,2,2,STANDARD,2,none,0
3562.4,274,11,9,2,0.8182,wallet,bank_timeout,3,20.36,9,5,STANDARD,2,none,0
4587.36,404,6,5,1,0.8333,upi,bank_timeout,2,46.44,7,6,PREMIUM,0,active,1
3748.01,1350,10,6,4,0.6,upi,temporary_failure,1,2.94,1,3,STANDARD,0,none,0
771.16,726,9,9,0,1.0,wallet,network_error,3,50.02,13,4,STANDARD,1,none,1
14482.23,1752,6,4,2,0.6667,card,network_error,1,9.8,8,2,STANDARD,0,none,0
1562.35,1169,5,4,1,0.8,card,insufficient_funds,1,58.1,20,1,STANDARD,0,none,1
3357.69,1271,7,5,2,0.7143,netbanking,insufficient_funds,1,41.13,0,0,PREMIUM,1,active,0
4645.75,430,11,8,3,0.7273,upi,bank_timeout,2,35.91,22,3,STANDARD,0,none,1
1230.18,1022,9,8,1,0.8889,upi,bank_timeout,2,19.04,12,3,STANDARD,0,none,1
2908.44,892,8,8,0,1.0,netbanking,insufficient_funds,3,107.23,12,2,STANDARD,3,none,1
4727.05,863,6,5,1,0.8333,card,bank_timeout,2,18.42,8,2,PREMIUM,1,active,1
18747.65,994,10,7,3,0.7,upi,temporary_failure,1,9.68,13,4,PREMIUM,0,active,1
1127.53,913,14,10,4,0.7143,upi,fraud_suspected,1,35.83,22,1,STANDARD,1,none,0
7107.81,795,10,8,2,0.8,card,insufficient_funds,2,64.24,8,0,PREMIUM,0,active,1
9449.07,463,9,8,1,0.8889,netbanking,temporary_failure,2,32.4,12,2,PREMIUM,0,active,1
1457.37,762,7,7,0,1.0,upi,network_error,1,55.35,13,4,STANDARD,1,none,1
4883.98,1647,7,6,1,0.8571,card,invalid_account,3,10.65,15,0,STANDARD,1,none,0
9936.73,240,15,12,3,0.8,upi,temporary_failure,1,9.22,16,0,STANDARD,0,none,1
11914.64,1759,14,12,2,0.8571,card,insufficient_funds,3,12.74,17,0,STANDARD,0,none,0
1484.39,1192,8,7,1,0.875,wallet,insufficient_funds,2,28.75,23,5,STANDARD,1,none,1
4326.02,871,12,9,3,0.75,upi,insufficient_funds,1,85.31,1,1,STANDARD,1,none,1
20707.96,1518,7,7,0,1.0,upi,temporary_failure,2,32.39,3,6,PREMIUM,0,active,0
1705.49,1773,5,4,1,0.8,upi,fraud_suspected,3,26.5,4,1,STANDARD,1,none,0
9322.97,1427,11,9,2,0.8182,netbanking,temporary_failure,3,10.11,12,3,STANDARD,0,none,1
11609.19,378,7,5,2,0.7143,card,bank_decline,3,11.74,23,0,PREMIUM,2,active,0
17377.26,575,12,8,4,0.6667,card,insufficient_funds,3,56.5,21,3,STANDARD,1,none,1
1412.88,1731,5,3,2,0.6,card,bank_timeout,2,34.71,0,3,STANDARD,1,none,1
3010.77,319,9,9,0,1.0,card,invalid_account,2,24.39,23,6,STANDARD,2,none,0
7455.57,1188,6,5,1,0.8333,wallet,temporary_failure,2,49.27,11,5,STANDARD,1,none,1
6025.96,1045,15,13,2,0.8667,card,bank_decline,3,2.7,7,3,STANDARD,0,none,0
735.66,763,7,4,3,0.5714,card,invalid_account,2,60.92,23,0,STANDARD,1,none,0
15768.55,1113,8,4,4,0.5,upi,network_error,3,10.76,10,1,PREMIUM,1,active,1
2089.84,1422,6,4,2,0.6667,wallet,bank_decline,1,52.16,18,0,STANDARD,0,none,0
1578.71,1006,5,3,2,0.6,card,network_error,2,29.86,4,6,PREMIUM,2,active,1
11251.43,1386,12,12,0,1.0,upi,network_error,3,35.79,3,1,STANDARD,0,none,1
2775.17,980,12,9,3,0.75,netbanking,bank_decline,1,62.86,12,5,PREMIUM,1,active,1
17357.89,484,12,9,3,0.75,card,bank_timeout,2,40.82,16,5,STANDARD,0,none,1
